"","spp","year","lo","hi","index","se","habitat","elevation","endemic"
"130","CC",2010,150.836578404174,191.878856550627,172.144320224567,10.4759357046692,"rainforest","midland","endemic"
"131","CC",2011,59.9486309325322,82.873936111551,72.0903363791821,5.85609390965611,"rainforest","midland","endemic"
"132","CC",2012,127.43135205927,163.723308044588,146.331759757249,9.26432815225727,"rainforest","midland","endemic"
"133","CC",2013,125.757724564027,161.414698665189,144.332558474519,9.10231658281339,"rainforest","midland","endemic"
"134","CC",2014,118.496768423215,153.269076147026,136.630988563112,8.87681236582794,"rainforest","midland","endemic"
"135","CC",2015,93.7398908409354,123.679717693534,109.429544968787,7.6444750203744,"rainforest","midland","endemic"
"136","CC",2016,101.754386187227,134.899072802897,119.090502293318,8.46217110363471,"rainforest","midland","endemic"
"137","CURR",2000,100,100,100,0,"generalist","upland",""
"138","CURR",2001,149.929894492262,285.516595800047,224.834666016537,34.7310949854194,"generalist","upland",""
"139","CURR",2002,-17.9696081992152,35.7697173752761,18.6235435301923,14.324998865419,"generalist","upland",""
"140","CURR",2003,52.0314440784469,140.912392625393,103.351235093571,22.8751884577206,"generalist","upland",""
"141","CURR",2004,48.2318063263561,128.610567806855,94.9134636602728,20.702904079537,"generalist","upland",""
"142","CURR",2005,40.4517235191146,124.653786960335,89.5546346343949,21.6998486939742,"generalist","upland",""
"143","CURR",2006,83.3859599686375,162.493573451056,128.431507750468,20.3252808879088,"generalist","upland",""
"144","CURR",2007,93.3462740384359,198.832801932462,152.802387301954,27.0724389552264,"generalist","upland",""
"145","CURR",2008,35.2994746463269,105.764126903868,76.8574001961981,18.1892797786417,"generalist","upland",""
"146","CURR",2009,61.2186829713257,161.628347623271,118.675339694526,25.8133480150385,"generalist","upland",""
"147","CURR",2010,74.784429410518,160.698049904641,123.815772765751,22.0797416824151,"generalist","upland",""
"148","CURR",2011,-17.7667481668796,21.9732454722898,11.182907246976,10.8202065299685,"generalist","upland",""
"149","CURR",2012,261.798501096837,493.887735703368,387.117736288415,59.3490509954197,"generalist","upland",""
"150","CURR",2013,-0.451925222780741,53.3551232155999,33.7356276912899,14.0866575110413,"generalist","upland",""
"151","CURR",2014,50.2163003331021,131.075298137558,97.1027229071215,20.8221805807799,"generalist","upland",""
"152","CURR",2015,-5.07095860699879,47.3575317649105,28.8157830053293,13.7813164481151,"generalist","upland",""
"153","CURR",2016,49.075317195036,136.146977349827,99.480468036701,22.4170850825147,"generalist","upland",""
"154","EWB",2000,100,100,100,0,"rainforest","midland",""
"155","EWB",2001,179.652191660502,231.054908023177,206.275245441346,13.1195097059635,"rainforest","midland",""
"156","EWB",2002,113.911449219173,150.099445836102,132.814147698354,9.23872125967262,"rainforest","midland",""
"157","EWB",2003,98.0947069960076,131.176103198542,115.428419444366,8.44656425953652,"rainforest","midland",""
"158","EWB",2004,177.216963511157,227.386900707237,203.208287255236,12.8049608127155,"rainforest","midland",""
"159","EWB",2005,156.815422726548,203.446755387854,181.023654935638,11.9025105341201,"rainforest","midland",""
"160","EWB",2006,154.452390306024,198.966747592491,177.569861985614,11.3622802075078,"rainforest","midland",""
"161","EWB",2007,167.739572331679,215.565515015716,192.540170630399,12.2070300633314,"rainforest","midland",""
