id,spp,site,mean,sd,ymin,ymax
129,MTB,WT600,0.405405405,0.738731214,0,1.144136619
130,MTB,WT800,0.360995851,0.669556324,0,1.030552174
137,MTHORN,WT1000,1.177966102,2.030119401,0,3.208085503
138,MTHORN,WT1200,3.735294118,2.538298446,1.196995671,6.273592564
133,MTHORN,WT200,NA,NA,NA,NA
134,MTHORN,WT400,NA,NA,NA,NA
135,MTHORN,WT600,0.040540541,0.258509383,0,0.299049923
136,MTHORN,WT800,0.377593361,1.046101899,0,1.42369526
143,OFSF,WT1000,0.169491525,0.448260653,0,0.617752178
144,OFSF,WT1200,0.117647059,0.409338408,0,0.526985467
139,OFSF,WT200,0.367346939,0.667516465,0,1.034863404
140,OFSF,WT400,0.245614035,0.543819224,0,0.789433259
141,OFSF,WT600,0.432432432,0.759976227,0,1.192408659
142,OFSF,WT800,0.381742739,0.732801895,0,1.114544633
149,PYR,WT1000,0.326271186,0.82482008,0,1.151091266
150,PYR,WT1200,0.176470588,0.575804483,0,0.752275071
145,PYR,WT200,0.355555556,0.645105895,0,1.000661451
146,PYR,WT400,0.56097561,0.867432432,0,1.428408042
147,PYR,WT600,0.527027027,1.088205422,0,1.615232449
148,PYR,WT800,0.390041494,0.745363724,0,1.135405218
155,RFAN,WT1000,0.470338983,0.857488596,0,1.32782758
156,RFAN,WT1200,0.382352941,0.603761235,0,0.986114176
151,RFAN,WT200,0.081632653,0.276641668,0,0.358274321
152,RFAN,WT400,0.087719298,0.342297999,0,0.430017297
153,RFAN,WT600,0.189189189,0.458576585,0,0.647765774
154,RFAN,WT800,0.365145228,0.795474753,0,1.160619981
161,RL,WT1000,0.588983051,1.857854351,0,2.446837402
162,RL,WT1200,0.617647059,1.255646782,0,1.873293841
157,RL,WT200,0.142857143,0.612372436,0,0.755229579
158,RL,WT400,0.509433962,2.034534926,0,2.543968888
159,RL,WT600,0.289855072,0.925162136,0,1.215017209
160,RL,WT800,0.472340426,1.412051627,0,1.884392053
167,SATBB,WT1000,0.224576271,0.681354901,0,0.905931172
168,SATBB,WT1200,0.558823529,0.660173369,0,1.218996898
163,SATBB,WT200,NA,NA,NA,NA
164,SATBB,WT400,NA,NA,NA,NA
165,SATBB,WT600,0.067567568,0.382174065,0,0.449741633
166,SATBB,WT800,0.078838174,0.444887976,0,0.52372615
173,SBCUC,WT1000,0.220338983,0.540064507,0,0.76040349
174,SBCUC,WT1200,0,0,0,0
